incident_id,frp_mw,brightness_temperature,brightness_ti5,scan,track,satellite_sensor,instrument,daynight,firms_confidence,latitude,longitude,land_cover_type,elevation_m,forest_distance_km,urban_distance_km,industrial_distance_km,oil_gas_facility_distance_km,chemical_facility_distance_km,population_density,ndvi,forest_cover_pct,vegetation_density,fuel_moisture_pct,temperature_c,humidity_pct,rainfall_24h_mm,rainfall_7d_mm,wind_speed_kmh,wind_direction_deg,soil_moisture_pct,drought_index,month,season,hour,historical_fire_count_7d,historical_fire_count_30d,historical_fire_count_90d,historical_fire_count_365d,refinery_distance_km,power_plant_distance_km,steel_plant_distance_km,cement_plant_distance_km,mine_distance_km,lng_terminal_distance_km,industrial_landuse_distance_km,within_industrial_area,nearby_facility_type,incident_name,reference_source,reference_url,firms_match,firms_nearby_match,firms_nearby_status,firms_deep_match,firms_deep_status,firms_deep_api_successes,firms_deep_api_failures,firms_evidence_level,firms_evidence_status,firms_evidence_source,historical_firms_status,historical_firms_api_successes,historical_firms_api_failures,fire_duration_days,spread_rate_km_day,thermal_area_km2
INC-0011,54.65,414.72,316.43,2.08,1.57,MODIS_TERRA,MODIS,N,88.4,22.36412,82.73075,Industrial / Built-up,299.4,13.54,4.99,1.16,4.03,1.6,851.3,0.148,14.8,0.177,30.1,29.6,32.0,0.0,0.0,22.3,165.6,28.4,-1.3,2,Winter,18,1,4,9,22,49.25,14.92,47.85,9.61,240.78,113.35,1.16,0,Thermal Power Plant,Korba Super Thermal Power Thermal Anomaly Event #11,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0011,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,5,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,3.72,1.14,4.178
INC-0012,199.86,474.13,300.79,0.43,0.34,VIIRS_NOAA21,VIIRS,D,83.8,22.04767,88.11807,Industrial / Built-up,8.0,13.97,1.01,0.6,2.44,1.07,2159.2,0.037,3.7,0.044,24.9,30.7,25.0,0.0,6.64,32.6,32.1,26.4,-2.22,2,Winter,14,1,3,3,20,0.71,11.94,10.23,135.45,263.78,124.65,0.6,1,Chemical & Refinery,Haldia Industrial Complex Thermal Anomaly Event #12,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0012,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,3,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,2.58,1.24,4.056
INC-0013,261.74,389.55,337.02,1.31,1.82,MODIS_TERRA,MODIS,D,91.6,22.3985,82.78057,Urban / Developed,294.2,10.99,2.51,0.61,21.57,0.27,947.7,0.024,2.4,0.028,27.4,23.9,51.9,0.0,0.0,24.2,132.9,23.2,-0.48,11,Post-Monsoon,14,2,1,11,21,65.44,2.61,85.81,144.93,39.2,31.87,0.61,1,Thermal Power Plant,Korba Super Thermal Power Thermal Anomaly Event #13,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0013,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,5,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,1.64,2.98,9.969
INC-0014,134.18,396.88,336.69,0.33,0.45,VIIRS_SNPP,VIIRS,D,91.7,21.98731,88.05141,Industrial / Built-up,22.3,5.49,4.8,1.0,2.65,1.62,3196.1,0.202,20.2,0.242,17.9,38.1,64.5,0.0,0.0,20.8,266.9,27.9,1.99,11,Post-Monsoon,9,0,4,6,14,3.32,6.41,31.21,71.27,199.28,123.96,1.0,0,Chemical & Refinery,Haldia Industrial Complex Thermal Anomaly Event #14,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0014,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,3,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,0.55,1.74,4.552
INC-0015,110.21,374.39,327.5,0.53,0.46,VIIRS_NOAA21,VIIRS,D,66.1,22.46055,82.77096,Industrial / Built-up,307.2,23.88,4.32,0.67,7.79,0.76,1591.2,0.112,11.2,0.135,33.7,30.8,21.7,0.0,0.0,4.2,120.1,20.9,-0.54,11,Post-Monsoon,18,0,3,9,26,18.62,27.35,62.51,57.55,135.23,119.47,0.67,1,Thermal Power Plant,Korba Super Thermal Power Thermal Anomaly Event #15,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0015,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,3,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,2.29,1.37,10.979
INC-0016,333.64,366.71,338.25,0.45,0.52,VIIRS_NOAA21,VIIRS,N,84.5,22.41133,69.81194,Urban / Developed,38.5,16.85,0.97,1.2,1.81,1.23,137.7,0.061,6.1,0.073,14.8,31.0,19.7,0.0,0.0,26.4,9.8,13.9,-2.23,8,Monsoon,1,0,2,6,27,0.36,22.75,28.89,125.38,271.96,84.26,1.2,0,Oil Refinery,Jamnagar Reliance Refinery Thermal Anomaly Event #16,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0016,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,5,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,1.17,2.33,10.27
INC-0017,134.17,383.97,335.34,0.44,0.51,VIIRS_SNPP,VIIRS,D,82.4,23.65446,86.14872,Urban / Developed,206.0,6.65,1.64,0.08,6.17,1.21,1261.8,0.072,7.2,0.086,19.5,27.9,54.3,0.0,0.0,8.7,300.6,44.4,-0.61,2,Winter,16,0,2,7,24,36.61,26.89,12.35,6.59,119.0,34.28,0.08,1,Steel Plant,Bokaro Steel City Thermal Anomaly Event #17,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0017,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,7,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,2.97,2.66,2.485
INC-0018,363.5,377.61,323.49,0.4,0.34,VIIRS_NOAA21,VIIRS,D,97.1,23.6498,86.24294,Industrial / Built-up,200.1,21.77,5.11,0.52,19.73,0.9,4356.3,0.174,17.4,0.209,11.7,29.6,41.6,0.0,0.0,24.3,165.5,8.0,-3.07,1,Winter,9,1,4,5,28,31.54,28.8,3.17,131.58,49.84,148.59,0.52,1,Steel Plant,Bokaro Steel City Thermal Anomaly Event #18,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0018,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,3,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,2.06,0.63,6.507
INC-0019,331.57,443.84,333.21,0.55,0.32,VIIRS_SNPP,VIIRS,D,71.5,21.6703,72.63512,Industrial / Built-up,26.6,19.17,1.72,1.19,3.31,0.17,1086.7,0.203,20.3,0.244,10.8,37.9,22.4,0.0,0.0,30.9,114.8,30.0,1.37,2,Winter,2,1,6,3,12,57.92,27.83,26.25,63.28,181.18,100.14,1.19,0,Petrochemical Complex,Dahej SEZ Gujarat Thermal Anomaly Event #19,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0019,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,5,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,4.49,1.15,9.209
INC-0020,163.18,399.74,299.13,0.41,0.49,VIIRS_NOAA20,VIIRS,N,89.4,22.38373,82.72985,Industrial / Built-up,293.1,20.2,4.53,0.05,12.75,0.66,2707.9,0.202,20.2,0.242,11.1,24.6,21.1,0.0,25.22,32.1,288.3,30.2,-2.31,8,Monsoon,2,0,1,10,17,68.96,21.75,63.02,90.98,101.25,119.38,0.05,1,Thermal Power Plant,Korba Super Thermal Power Thermal Anomaly Event #20,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0020,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,5,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,1.09,0.76,6.448
INC-0021,215.16,380.94,316.45,0.44,0.32,VIIRS_NOAA21,VIIRS,D,75.0,22.07471,88.05682,Urban / Developed,27.8,30.42,0.69,0.43,3.27,1.5,55.0,0.03,3.0,0.036,23.3,26.2,77.1,0.0,0.0,33.9,1.9,37.8,-2.24,11,Post-Monsoon,16,1,2,11,13,1.2,8.33,10.46,83.3,216.32,157.73,0.43,1,Chemical & Refinery,Haldia Industrial Complex Thermal Anomaly Event #21,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0021,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,3,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,2.88,0.87,7.612
INC-0022,280.45,484.45,310.38,0.35,0.52,VIIRS_NOAA21,VIIRS,N,98.7,23.77928,86.4602,Industrial / Built-up,217.7,32.89,1.06,1.13,17.82,0.23,416.6,0.089,8.9,0.107,25.5,31.8,36.3,0.0,0.0,19.3,58.9,36.8,0.32,8,Monsoon,20,0,4,2,16,27.57,21.54,16.06,147.68,185.1,86.59,1.13,0,Coal Colliery,Jharia Dhanbad Coal Belt Thermal Anomaly Event #22,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0022,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,7,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,2.91,1.3,3.298
INC-0023,145.03,371.97,296.4,0.47,0.49,VIIRS_SNPP,VIIRS,D,98.3,23.66739,86.09377,Industrial / Built-up,213.7,15.42,5.25,0.59,24.27,0.45,2185.7,0.172,17.2,0.207,25.7,23.4,57.0,0.0,0.0,14.6,163.9,5.5,-3.1,9,Monsoon,7,0,0,5,20,70.15,23.52,11.68,148.07,257.32,35.36,0.59,1,Steel Plant,Bokaro Steel City Thermal Anomaly Event #23,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0023,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,5,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,2.21,0.38,2.912
INC-0024,195.52,456.37,337.36,0.5,0.47,VIIRS_NOAA20,VIIRS,N,82.4,13.16297,80.31794,Urban / Developed,11.5,20.56,5.35,0.14,2.9,0.78,2142.3,0.184,18.4,0.221,11.0,22.9,29.0,0.0,0.0,24.2,234.1,24.2,-0.11,2,Winter,5,1,0,11,19,29.16,29.35,28.08,76.53,215.63,23.65,0.14,1,Petrochemical Plant,Manali Petrochem Chennai Thermal Anomaly Event #24,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0024,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,4,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,2.97,1.1,6.514
INC-0025,140.94,402.76,304.16,0.54,0.38,VIIRS_NOAA20,VIIRS,N,88.0,21.1804,72.70203,Industrial / Built-up,21.2,9.4,5.78,0.53,21.46,1.29,473.9,0.123,12.3,0.147,24.7,30.2,52.3,0.0,4.6,7.3,145.8,28.7,-0.31,1,Winter,7,0,2,8,22,60.15,23.26,55.44,39.23,174.41,22.11,0.53,1,LNG Terminal,Hazira LNG Terminal Thermal Anomaly Event #25,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0025,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,6,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,0.68,3.1,5.451
INC-0026,336.18,361.86,315.22,0.35,0.33,VIIRS_SNPP,VIIRS,D,75.8,24.20864,82.62922,Industrial / Built-up,358.9,33.41,1.89,0.46,10.73,1.25,2371.7,0.109,10.9,0.131,31.6,37.1,44.6,0.0,0.0,4.6,116.3,43.9,-0.31,2,Winter,9,0,1,3,20,31.75,16.47,80.36,102.53,218.98,93.2,0.46,1,Coal Mine & Power,Singrauli Coal & Power Thermal Anomaly Event #26,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0026,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,6,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,3.06,3.11,1.136
INC-0027,156.06,439.24,339.04,0.42,0.37,VIIRS_SNPP,VIIRS,N,78.1,23.70506,86.14545,Industrial / Built-up,221.3,4.54,1.84,1.01,21.89,1.56,2557.3,0.208,20.8,0.25,30.7,41.3,39.3,0.0,0.0,14.1,233.7,18.1,-0.03,12,Winter,5,0,2,6,12,13.48,24.07,13.82,115.1,190.17,104.09,1.01,0,Steel Plant,Bokaro Steel City Thermal Anomaly Event #27,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0027,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,4,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,2.68,0.58,7.714
INC-0028,458.89,467.08,336.14,0.48,0.34,VIIRS_SNPP,VIIRS,D,84.9,24.28297,82.67612,Industrial / Built-up,354.3,7.38,1.32,0.66,7.66,1.01,3874.4,0.124,12.4,0.149,30.6,42.5,53.7,0.0,10.12,17.6,351.6,37.9,-0.63,10,Post-Monsoon,23,0,1,5,13,34.58,16.93,77.22,59.16,221.76,109.09,0.66,1,Coal Mine & Power,Singrauli Coal & Power Thermal Anomaly Event #28,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0028,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,6,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,1.97,0.32,9.791
INC-0029,322.52,417.28,321.71,0.35,0.34,VIIRS_SNPP,VIIRS,D,90.4,23.72199,86.39128,Industrial / Built-up,225.6,24.04,1.46,0.46,22.84,1.56,3274.1,0.19,19.0,0.228,26.8,36.0,35.2,0.0,1.22,13.3,214.9,32.0,-1.07,10,Post-Monsoon,6,1,0,5,13,46.75,8.41,37.19,32.82,226.29,70.09,0.46,1,Coal Colliery,Jharia Dhanbad Coal Belt Thermal Anomaly Event #29,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0029,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,7,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,0.45,0.32,10.731
INC-0030,199.42,350.41,318.36,0.5,0.52,VIIRS_NOAA21,VIIRS,N,86.3,23.72156,86.10242,Urban / Developed,229.5,28.81,1.79,0.67,22.24,1.34,2368.3,0.219,21.9,0.263,26.5,39.5,80.1,0.0,0.0,9.2,357.3,42.1,-0.53,12,Winter,5,0,2,6,17,44.97,10.41,5.33,43.15,209.11,77.15,0.67,1,Steel Plant,Bokaro Steel City Thermal Anomaly Event #30,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0030,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,6,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,3.22,0.16,3.645
INC-0031,452.58,423.07,308.75,1.93,1.15,MODIS_TERRA,MODIS,N,85.8,22.377,69.89771,Industrial / Built-up,15.9,17.86,3.8,0.64,3.23,1.04,651.5,0.043,4.3,0.052,30.4,35.3,69.2,0.0,0.0,17.6,52.7,19.7,-3.13,4,Summer,17,0,4,3,20,3.97,25.69,28.77,94.84,280.91,132.84,0.64,1,Oil Refinery,Jamnagar Reliance Refinery Thermal Anomaly Event #31,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0031,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,7,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,0.56,2.07,2.6
